name,category,price,description,image
Denim Jeans,CLOTHING,59.99,Classic fit jeans with stretch technology,https://m.media-amazon.com/images/I/71k3fJh5EwL._AC_UX569_.jpg
Leather Boots,FOOTWEAR,129.99,Genuine leather boots with rubber sole,https://m.media-amazon.com/images/I/71zKuNpKb6L._AC_UX695_.jpg
Diamond Earrings,JEWELRY,399.99,14K white gold diamond stud earrings,https://m.media-amazon.com/images/I/71m4+0AqHjL._AC_UL1500_.jpg
Moisturizing Lotion,HEALTH AND BEAUTY,19.99,24-hour moisturizing lotion for dry skin,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Wireless Mouse,OFFICE PRODUCTS,29.99,Ergonomic wireless mouse with silent click,https://m.media-amazon.com/images/I/61kR3hL0VCL._AC_SL1500_.jpg
Baby Carrier,BABY PRODUCTS,79.99,Ergonomic baby carrier for newborns to toddlers,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Microwave Oven,KITCHEN/HOME APPLIANCES,149.99,1.2 cu.ft. countertop microwave with sensor cooking,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Tablet,PHONES AND GADGETS,329.99,10.2-inch tablet with Retina display,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Hooded Sweatshirt,CLOTHING,44.99,Warm fleece hoodie with front pocket,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Running Shorts,CLOTHING,29.99,Lightweight running shorts with moisture-wicking fabric,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Yoga Mat,HEALTH AND FITNESS,34.99,Eco-friendly yoga mat with carrying strap,https://m.media-amazon.com/images/I/71S8UFo4NVL._AC_SL1500_.jpg
Desk Organizer,OFFICE PRODUCTS,19.99,Wooden desk organizer with multiple compartments,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby High Chair,BABY PRODUCTS,129.99,Adjustable height high chair with tray,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Coffee Maker,KITCHEN/HOME APPLIANCES,79.99,12-cup programmable coffee maker,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Bluetooth Speaker,PHONES AND GADGETS,89.99,Portable waterproof Bluetooth speaker,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Formal Shirt,CLOTHING,49.99,Classic fit dress shirt with spread collar,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Belt,ACCESSORIES,39.99,Genuine leather belt with metal buckle,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Shampoo,HEALTH AND BEAUTY,12.99,Moisturizing shampoo for all hair types,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Laptop Stand,OFFICE PRODUCTS,24.99,Adjustable laptop stand for better ergonomics,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Crib,BABY PRODUCTS,249.99,Convertible crib that grows with your child,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Toaster Oven,KITCHEN/HOME APPLIANCES,119.99,6-slice toaster oven with convection,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Power Bank,PHONES AND GADGETS,49.99,10000mAh portable charger with fast charging,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Winter Coat,CLOTHING,149.99,Insulated winter coat with waterproof shell,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Sneakers,FOOTWEAR,89.99,Casual sneakers with memory foam insole,https://m.media-amazon.com/images/I/71h5QP3r3bL._AC_SY695_.jpg
Silver Bracelet,JEWELRY,199.99,Sterling silver tennis bracelet,https://m.media-amazon.com/images/I/71m4+0AqHjL._AC_UL1500_.jpg
Face Wash,HEALTH AND BEAUTY,14.99,Refreshing facial cleanser for all skin types,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Wireless Keyboard,OFFICE PRODUCTS,59.99,Slim wireless keyboard with quiet-touch keys,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Car Seat,BABY PRODUCTS,199.99,Convertible car seat for infants to toddlers,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Food Processor,KITCHEN/HOME APPLIANCES,129.99,10-cup food processor with multiple blades,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Smartphone Stand,PHONES AND GADGETS,19.99,Adjustable phone stand for hands-free viewing,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Dress Pants,CLOTHING,69.99,Classic fit dress pants with stretch,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Wallet,ACCESSORIES,49.99,Genuine leather wallet with RFID protection,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Moisturizer,HEALTH AND BEAUTY,29.99,Daily moisturizer with SPF 30,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Monitor Stand,OFFICE PRODUCTS,34.99,Adjustable monitor stand with storage,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Swing,BABY PRODUCTS,149.99,Portable baby swing with multiple speeds,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Blender Bottle,KITCHEN/HOME APPLIANCES,12.99,Shaker bottle with mixing ball,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Phone Case,PHONES AND GADGETS,24.99,Shockproof phone case with screen protector,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
T-Shirt,CLOTHING,19.99,Basic crew neck t-shirt,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Running Shoes,FOOTWEAR,109.99,Lightweight running shoes with cushioning,https://m.media-amazon.com/images/I/71h5QP3r3bL._AC_SY695_.jpg
Gold Necklace,JEWELRY,299.99,14K gold chain necklace,https://m.media-amazon.com/images/I/71m4+0AqHjL._AC_UL1500_.jpg
Sunscreen,HEALTH AND BEAUTY,16.99,Broad spectrum SPF 50 sunscreen,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Desk Lamp,OFFICE PRODUCTS,39.99,LED desk lamp with USB charging port,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Bathtub,BABY PRODUCTS,34.99,Convertible baby bathtub with sling,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Air Fryer Oven,KITCHEN/HOME APPLIANCES,149.99,8-in-1 air fryer oven with rotisserie,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Wireless Earbuds,PHONES AND GADGETS,149.99,True wireless earbuds with charging case,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Sweatpants,CLOTHING,34.99,Comfortable fleece sweatpants,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Wallet,ACCESSORIES,59.99,Genuine leather wallet with coin pocket,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Conditioner,HEALTH AND BEAUTY,12.99,Moisturizing conditioner for all hair types,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
File Cabinet,OFFICE PRODUCTS,149.99,2-drawer letter size file cabinet,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Playpen,BABY PRODUCTS,199.99,Portable baby play yard with mat,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Electric Kettle,KITCHEN/HOME APPLIANCES,49.99,1.7L stainless steel electric kettle,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Portable Speaker,PHONES AND GADGETS,79.99,Waterproof portable Bluetooth speaker,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Dress Shirt,CLOTHING,54.99,Slim fit dress shirt with French cuffs,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Belt,ACCESSORIES,44.99,Genuine leather reversible belt,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Face Mask,HEALTH AND BEAUTY,9.99,5-pack of reusable cloth face masks,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Desk Organizer,OFFICE PRODUCTS,24.99,Acrylic desk organizer set,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Bouncer,BABY PRODUCTS,89.99,Vibrating baby bouncer with toy bar,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Slow Cooker,KITCHEN/HOME APPLIANCES,69.99,6-quart programmable slow cooker,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Phone Stand,PHONES AND GADGETS,14.99,Adjustable phone stand for all devices,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Hoodie,CLOTHING,39.99,Pullover hoodie with kangaroo pocket,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Wallet,ACCESSORIES,39.99,Slim leather wallet with card slots,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Body Lotion,HEALTH AND BEAUTY,8.99,24-hour moisturizing body lotion,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Monitor Arm,OFFICE PRODUCTS,79.99,Adjustable monitor mount with USB hub,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Walker,BABY PRODUCTS,59.99,Interactive baby walker with activity center,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Rice Cooker,KITCHEN/HOME APPLIANCES,59.99,10-cup digital rice cooker with steamer,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Tablet Stand,PHONES AND GADGETS,19.99,Adjustable stand for tablets and e-readers,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
T-Shirt,CLOTHING,22.99,Graphic print t-shirt,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Wallet,ACCESSORIES,49.99,Genuine leather money clip wallet,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Hand Sanitizer,HEALTH AND BEAUTY,5.99,8oz hand sanitizer with aloe,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Desk Chair,OFFICE PRODUCTS,129.99,Ergonomic mesh office chair,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Carrier,BABY PRODUCTS,79.99,Ergonomic baby carrier for newborns,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Toaster,KITCHEN/HOME APPLIANCES,39.99,4-slice toaster with bagel setting,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Wireless Earbuds,PHONES AND GADGETS,99.99,True wireless earbuds with mic,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Jeans,CLOTHING,59.99,Slim fit stretch jeans,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Belt,ACCESSORIES,34.99,Genuine leather dress belt,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Lip Balm,HEALTH AND BEAUTY,3.99,Moisturizing lip balm with SPF 15,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Laptop Stand,OFFICE PRODUCTS,29.99,Adjustable laptop stand for desk,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Stroller,BABY PRODUCTS,249.99,Lightweight stroller with canopy,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Blender,KITCHEN/HOME APPLIANCES,79.99,High-speed blender with 1000W motor,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Phone Grip,PHONES AND GADGETS,12.99,Pop socket phone grip and stand,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
T-Shirt,CLOTHING,19.99,Basic v-neck t-shirt,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Wallet,ACCESSORIES,29.99,Genuine leather card holder,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Face Wash,HEALTH AND BEAUTY,9.99,Refreshing facial cleanser,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Monitor Riser,OFFICE PRODUCTS,39.99,Wooden monitor stand with drawer,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Crib,BABY PRODUCTS,299.99,Convertible crib with mattress,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Coffee Grinder,KITCHEN/HOME APPLIANCES,34.99,Burr coffee grinder with 18 settings,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Power Bank,PHONES AND GADGETS,29.99,10000mAh portable charger,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Hoodie,CLOTHING,44.99,Zip-up hoodie with pockets,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Wallet,ACCESSORIES,49.99,Genuine leather bifold wallet,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Shampoo,HEALTH AND BEAUTY,8.99,Volumizing shampoo for fine hair,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Keyboard Tray,OFFICE PRODUCTS,49.99,Under desk keyboard tray with mouse pad,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Carrier,BABY PRODUCTS,89.99,Soft structured baby carrier,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Food Processor,KITCHEN/HOME APPLIANCES,109.99,12-cup food processor,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Phone Case,PHONES AND GADGETS,19.99,Clear protective phone case,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Jeans,CLOTHING,69.99,Straight leg jeans with stretch,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Belt,ACCESSORIES,39.99,Genuine leather reversible belt,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Moisturizer,HEALTH AND BEAUTY,17.99,Night repair cream,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Monitor Stand,OFFICE PRODUCTS,34.99,Adjustable monitor stand,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Swing,BABY PRODUCTS,129.99,Portable baby swing,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Blender Bottle,KITCHEN/HOME APPLIANCES,12.99,20oz shaker bottle,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Screen Protector,PHONES AND GADGETS,9.99,Tempered glass screen protector,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
T-Shirt,CLOTHING,24.99,Graphic print t-shirt,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Wallet,ACCESSORIES,54.99,Genuine leather trifold wallet,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Sunscreen,HEALTH AND BEAUTY,14.99,Broad spectrum SPF 50,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Desk Lamp,OFFICE PRODUCTS,29.99,LED desk lamp,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Bathtub,BABY PRODUCTS,39.99,Convertible baby bathtub,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Air Fryer,KITCHEN/HOME APPLIANCES,119.99,5.8QT digital air fryer,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Wireless Earbuds,PHONES AND GADGETS,129.99,Noise cancelling earbuds,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Sweatpants,CLOTHING,34.99,Fleece sweatpants,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Wallet,ACCESSORIES,44.99,Genuine leather card case,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Conditioner,HEALTH AND BEAUTY,12.99,Moisturizing conditioner,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
File Organizer,OFFICE PRODUCTS,19.99,Desktop file organizer,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Playpen,BABY PRODUCTS,179.99,Portable play yard,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Electric Kettle,KITCHEN/HOME APPLIANCES,44.99,1.7L electric kettle,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Portable Speaker,PHONES AND GADGETS,89.99,Waterproof Bluetooth speaker,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Dress Shirt,CLOTHING,59.99,Classic fit dress shirt,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Belt,ACCESSORIES,39.99,Genuine leather dress belt,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Face Mask,HEALTH AND BEAUTY,12.99,5-pack face masks,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Desk Organizer,OFFICE PRODUCTS,24.99,Acrylic desk organizer,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Bouncer,BABY PRODUCTS,79.99,Vibrating baby bouncer,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Slow Cooker,KITCHEN/HOME APPLIANCES,59.99,6-quart slow cooker,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Phone Stand,PHONES AND GADGETS,14.99,Adjustable phone stand,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Hoodie,CLOTHING,39.99,Pullover hoodie,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Wallet,ACCESSORIES,49.99,Genuine leather wallet,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Body Lotion,HEALTH AND BEAUTY,8.99,Moisturizing body lotion,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Monitor Arm,OFFICE PRODUCTS,79.99,Adjustable monitor mount,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Walker,BABY PRODUCTS,49.99,Interactive baby walker,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Rice Cooker,KITCHEN/HOME APPLIANCES,49.99,10-cup rice cooker,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Tablet Stand,PHONES AND GADGETS,19.99,Adjustable tablet stand,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
T-Shirt,CLOTHING,19.99,Basic crew neck,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Wallet,ACCESSORIES,39.99,Genuine leather money clip,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Hand Sanitizer,HEALTH AND BEAUTY,5.99,8oz hand sanitizer,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Desk Chair,OFFICE PRODUCTS,129.99,Ergonomic office chair,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Carrier,BABY PRODUCTS,89.99,Ergonomic carrier,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Toaster,KITCHEN/HOME APPLIANCES,34.99,2-slice toaster,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Wireless Earbuds,PHONES AND GADGETS,89.99,True wireless earbuds,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Jeans,CLOTHING,54.99,Slim fit jeans,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Belt,ACCESSORIES,34.99,Genuine leather belt,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Lip Balm,HEALTH AND BEAUTY,3.99,Moisturizing lip balm,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Laptop Stand,OFFICE PRODUCTS,29.99,Adjustable laptop stand,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
